date,1. open,2. high,3. low,4. close,5. volume
2021-01-08 16:00:00,219.17,220.2,219.1,219.55,3861914.0
2021-01-08 15:00:00,217.94,219.33,217.8901,219.18,1937224.0
2021-01-08 14:00:00,218.14,218.32,217.0261,217.96,1859329.0
2021-01-08 13:00:00,218.255,218.94,217.79,218.14,1885833.0
2021-01-08 12:00:00,218.84,219.4,217.52,218.245,2291813.0
2021-01-08 11:00:00,218.9,219.96,217.93,218.83,2890565.0
2021-01-08 10:00:00,218.0,220.58,217.81,218.8856,3287501.0
2021-01-08 09:00:00,218.29,218.3,217.56,218.1,82372.0
2021-01-08 08:00:00,218.08,218.33,217.4,217.6,58085.0
2021-01-08 07:00:00,218.2,218.62,217.83,217.88,9618.0
2021-01-08 06:00:00,218.69,218.69,217.63,218.16,8055.0
2021-01-08 05:00:00,218.7,218.7,218.02,218.51,2385.0
2021-01-07 20:00:00,218.29,218.55,217.9,218.4,17380.0
2021-01-07 19:00:00,218.05,218.29,217.87,218.1,16465.0
2021-01-07 18:00:00,218.07,218.3,218.05,218.2,13650.0
2021-01-07 17:00:00,218.29,218.73,218.0,218.02,2125117.0
2021-01-07 16:00:00,218.7,219.34,218.15,218.29,4028928.0
2021-01-07 15:00:00,218.59,218.7296,217.8465,218.6967,1515875.0
2021-01-07 14:00:00,218.17,218.64,217.65,218.58,1535206.0
2021-01-07 13:00:00,218.33,218.46,217.76,218.16,1597075.0
2021-01-07 12:00:00,218.09,218.78,217.41,218.29,2850738.0
2021-01-07 11:00:00,216.92,218.14,216.79,218.1073,4025813.0
2021-01-07 10:00:00,213.84,217.19,213.71,216.91,4627422.0
2021-01-07 09:00:00,214.0,214.28,213.6,213.98,104576.0
2021-01-07 08:00:00,213.68,214.24,213.5,214.14,72761.0
2021-01-07 07:00:00,213.3,213.89,213.15,213.75,6225.0
2021-01-07 06:00:00,213.85,214.15,213.55,213.75,14505.0
2021-01-07 05:00:00,214.0,214.38,213.32,213.95,25252.0
2021-01-06 20:00:00,213.3,213.65,213.0,213.55,18051.0
2021-01-06 19:00:00,213.2,213.3,212.93,213.3,32857.0
2021-01-06 18:00:00,212.82,213.2,212.51,213.0,44583.0
2021-01-06 17:00:00,212.25,213.0,212.05,212.83,1211059.0
2021-01-06 16:00:00,214.21,214.5,211.94,212.22,6740986.0
2021-01-06 15:00:00,215.56,215.7042,213.86,214.24,3591839.0
2021-01-06 14:00:00,215.77,216.2947,215.01,215.5599,2247772.0
2021-01-06 13:00:00,215.52,216.43,215.52,215.7475,2262226.0
2021-01-06 12:00:00,215.13,216.4899,214.86,215.51,2841560.0
2021-01-06 11:00:00,213.24,216.15,212.83,215.1299,4935294.0
2021-01-06 10:00:00,213.38,214.66,212.0,213.25,6896602.0
2021-01-06 09:00:00,214.45,215.27,213.24,213.352,248384.0
2021-01-06 08:00:00,214.15,214.94,213.61,213.9,142782.0
2021-01-06 07:00:00,213.4,214.26,212.5,213.72,38165.0
2021-01-06 06:00:00,214.48,214.84,212.56,212.86,68255.0
2021-01-06 05:00:00,213.95,214.5,213.04,214.48,64922.0
2021-01-05 20:00:00,217.51,218.37,217.1,217.57,17944.0
2021-01-05 19:00:00,217.74,217.88,217.7,217.7,3950.0
2021-01-05 18:00:00,218.0,218.23,217.7,217.7,6516.0
